SubjectID,Visit,TrialNo,TimeAtStartOfTrial,BlockNo,LeftFace,RightFace,WinningFace,WinningSide,ChosenFace,ChosenSide,FaceOnset,RT,FeedbackOnset,Rewarded,PercentRewardedInBlock
MUTRIPB075B,1,1,3.00,1,AngryA,HappyA,HappyA,Right,AngryA,Left,4.00,1024,8.50,No,00
MUTRIPB075B,1,2,10.00,1,HappyA,AngryA,HappyA,Left,HappyA,Left,11.00,1233,15.50,Yes,50
MUTRIPB075B,1,3,17.00,1,AngryA,HappyA,HappyA,Right,HappyA,Right,18.00,1032,22.50,Yes,67
MUTRIPB075B,1,4,24.00,1,AngryA,HappyA,AngryA,Left,HappyA,Right,25.00,1024,29.50,No,50
MUTRIPB075B,1,5,31.00,1,AngryA,HappyA,AngryA,Left,HappyA,Right,32.00,961,36.50,No,40
MUTRIPB075B,1,6,38.00,1,HappyA,AngryA,AngryA,Right,HappyA,Left,39.00,776,43.50,No,33
MUTRIPB075B,1,7,45.00,1,AngryA,HappyA,AngryA,Left,AngryA,Left,46.00,1400,50.50,Yes,43
MUTRIPB075B,1,8,52.00,1,HappyA,AngryA,AngryA,Right,AngryA,Right,53.00,784,57.50,Yes,50
MUTRIPB075B,1,9,59.00,1,HappyA,AngryA,AngryA,Right,AngryA,Right,60.00,984,64.50,Yes,56
MUTRIPB075B,1,10,66.00,1,HappyA,AngryA,HappyA,Left,AngryA,Right,67.00,952,71.50,No,50
MUTRIPB075B,1,11,73.00,1,AngryA,HappyA,HappyA,Right,AngryA,Left,74.00,912,78.50,No,45
MUTRIPB075B,1,12,80.00,1,HappyA,AngryA,AngryA,Right,AngryA,Right,81.00,1200,85.50,Yes,50
MUTRIPB075B,1,13,87.00,1,AngryA,HappyA,HappyA,Right,AngryA,Left,88.00,904,92.50,No,46
MUTRIPB075B,1,14,94.00,1,HappyA,AngryA,AngryA,Right,AngryA,Right,95.00,912,99.50,Yes,50
MUTRIPB075B,1,15,101.00,1,HappyA,AngryA,HappyA,Left,AngryA,Right,102.00,1064,106.50,No,47
MUTRIPB075B,1,16,108.00,1,AngryA,HappyA,HappyA,Right,AngryA,Left,109.00,848,113.50,No,44
MUTRIPB075B,1,17,115.00,1,HappyA,AngryA,AngryA,Right,AngryA,Right,116.00,888,120.50,Yes,47
MUTRIPB075B,1,18,122.00,1,AngryA,HappyA,HappyA,Right,AngryA,Left,123.00,848,127.50,No,44
MUTRIPB075B,1,19,129.00,1,HappyA,AngryA,AngryA,Right,AngryA,Right,130.00,944,134.50,Yes,47
MUTRIPB075B,1,20,136.00,1,AngryA,HappyA,AngryA,Left,AngryA,Left,137.00,1000,141.50,Yes,50
MUTRIPB075B,1,21,143.00,1,AngryA,HappyA,HappyA,Right,AngryA,Left,144.00,694,148.50,No,48
MUTRIPB075B,1,22,150.00,1,HappyA,AngryA,AngryA,Right,AngryA,Right,151.00,1616,155.50,Yes,50
MUTRIPB075B,1,23,157.00,1,HappyA,AngryA,AngryA,Right,AngryA,Right,158.00,855,162.50,Yes,52
MUTRIPB075B,1,24,164.00,1,AngryA,HappyA,HappyA,Right,AngryA,Left,165.00,1376,169.50,No,50
MUTRIPB075B,1,25,171.00,1,AngryA,HappyA,AngryA,Left,AngryA,Left,172.00,1056,176.50,Yes,52
MUTRIPB075B,1,26,178.00,1,HappyA,AngryA,AngryA,Right,AngryA,Right,179.00,1062,183.50,Yes,54
MUTRIPB075B,1,27,185.00,1,AngryA,HappyA,AngryA,Left,AngryA,Left,186.00,799,190.50,Yes,56
MUTRIPB075B,1,28,192.00,1,HappyA,AngryA,HappyA,Left,AngryA,Right,193.00,942,197.50,No,54
MUTRIPB075B,1,29,199.00,1,HappyA,AngryA,AngryA,Right,AngryA,Right,200.00,847,204.50,Yes,55
MUTRIPB075B,1,30,206.00,1,AngryA,HappyA,AngryA,Left,AngryA,Left,207.00,918,211.50,Yes,57
MUTRIPB075B,1,31,216.00,2,NeutralB,NeutralA,NeutralA,Right,NeutralB,Left,217.00,1247,221.50,No,00
MUTRIPB075B,1,32,223.00,2,NeutralA,NeutralB,NeutralA,Left,NeutralA,Left,224.00,1807,228.50,Yes,50
MUTRIPB075B,1,33,230.00,2,NeutralB,NeutralA,NeutralA,Right,NeutralA,Right,231.00,943,235.50,Yes,67
MUTRIPB075B,1,34,237.00,2,NeutralB,NeutralA,NeutralB,Left,NeutralA,Right,238.00,1015,242.50,No,50
MUTRIPB075B,1,35,244.00,2,NeutralB,NeutralA,NeutralB,Left,NeutralA,Right,245.00,1071,249.50,No,40
MUTRIPB075B,1,36,251.00,2,NeutralA,NeutralB,NeutralB,Right,NeutralB,Right,252.00,1229,256.50,Yes,50
MUTRIPB075B,1,37,258.00,2,NeutralB,NeutralA,NeutralB,Left,NeutralB,Left,259.00,797,263.50,Yes,57
MUTRIPB075B,1,38,265.00,2,NeutralA,NeutralB,NeutralB,Right,NeutralB,Right,266.00,933,270.50,Yes,63
MUTRIPB075B,1,39,272.00,2,NeutralA,NeutralB,NeutralB,Right,NeutralB,Right,273.00,1015,277.50,Yes,67
MUTRIPB075B,1,40,279.00,2,NeutralA,NeutralB,NeutralA,Left,NeutralB,Right,280.00,942,284.50,No,60
MUTRIPB075B,1,41,286.00,2,NeutralB,NeutralA,NeutralA,Right,NeutralB,Left,287.00,718,291.50,No,55
MUTRIPB075B,1,42,293.00,2,NeutralA,NeutralB,NeutralB,Right,NeutralB,Right,294.00,591,298.50,Yes,58
MUTRIPB075B,1,43,300.00,2,NeutralB,NeutralA,NeutralA,Right,NeutralB,Left,301.00,646,305.50,No,54
MUTRIPB075B,1,44,307.00,2,NeutralA,NeutralB,NeutralB,Right,NeutralB,Right,308.00,703,312.50,Yes,57
MUTRIPB075B,1,45,314.00,2,NeutralA,NeutralB,NeutralA,Left,NeutralB,Right,315.00,902,319.50,No,53
MUTRIPB075B,1,46,321.00,2,NeutralB,NeutralA,NeutralA,Right,NeutralB,Left,322.00,1047,326.50,No,50
MUTRIPB075B,1,47,328.00,2,NeutralA,NeutralB,NeutralB,Right,NeutralB,Right,329.00,630,333.50,Yes,53
MUTRIPB075B,1,48,335.00,2,NeutralB,NeutralA,NeutralA,Right,NeutralB,Left,336.00,919,340.50,No,50
MUTRIPB075B,1,49,342.00,2,NeutralA,NeutralB,NeutralB,Right,NeutralB,Right,343.00,1463,347.50,Yes,53
MUTRIPB075B,1,50,349.00,2,NeutralB,NeutralA,NeutralB,Left,NeutralB,Left,350.00,1125,354.50,Yes,55
MUTRIPB075B,1,51,356.00,2,NeutralB,NeutralA,NeutralA,Right,NeutralB,Left,357.00,742,361.50,No,52
MUTRIPB075B,1,52,363.00,2,NeutralA,NeutralB,NeutralB,Right,NeutralB,Right,364.00,1375,368.50,Yes,55
MUTRIPB075B,1,53,370.00,2,NeutralA,NeutralB,NeutralB,Right,NeutralB,Right,371.00,1134,375.50,Yes,57
MUTRIPB075B,1,54,377.00,2,NeutralB,NeutralA,NeutralA,Right,NeutralB,Left,378.00,1206,382.50,No,54
MUTRIPB075B,1,55,384.00,2,NeutralB,NeutralA,NeutralB,Left,NeutralB,Left,385.00,759,389.50,Yes,56
MUTRIPB075B,1,56,391.00,2,NeutralA,NeutralB,NeutralB,Right,NeutralB,Right,392.00,1086,396.50,Yes,58
MUTRIPB075B,1,57,398.00,2,NeutralB,NeutralA,NeutralB,Left,NeutralB,Left,399.00,782,403.50,Yes,59
MUTRIPB075B,1,58,405.00,2,NeutralA,NeutralB,NeutralA,Left,NeutralB,Right,406.00,718,410.50,No,57
MUTRIPB075B,1,59,412.00,2,NeutralA,NeutralB,NeutralB,Right,NeutralB,Right,413.00,1038,417.50,Yes,59
MUTRIPB075B,1,60,419.00,2,NeutralB,NeutralA,NeutralB,Left,NeutralB,Left,420.00,1030,424.50,Yes,60
MUTRIPB075B,1,61,429.00,3,HappyB,AngryB,AngryB,Right,HappyB,Left,430.00,2902,434.50,No,00
MUTRIPB075B,1,62,436.00,3,AngryB,HappyB,AngryB,Left,HappyB,Right,437.00,1454,441.50,No,00
