SubjectID,Visit,TrialNo,TimeAtStartOfTrial,BlockNo,LeftFace,RightFace,WinningFace,WinningSide,ChosenFace,ChosenSide,FaceOnset,RT,FeedbackOnset,Rewarded,PercentRewardedInBlock
MUTRIPB030BV1,1,1,3.00,1,AngryA,HappyA,AngryA,Left,HappyA,Right,4.00,1266,8.50,No,00
MUTRIPB030BV1,1,2,10.00,1,AngryA,HappyA,AngryA,Left,HappyA,Right,11.00,1110,15.50,No,00
MUTRIPB030BV1,1,3,17.00,1,HappyA,AngryA,HappyA,Left,HappyA,Left,18.00,1466,22.50,Yes,33
MUTRIPB030BV1,1,4,24.00,1,AngryA,HappyA,AngryA,Left,HappyA,Right,25.00,989,29.50,No,25
MUTRIPB030BV1,1,5,31.00,1,AngryA,HappyA,HappyA,Right,AngryA,Left,32.00,1462,36.50,No,20
MUTRIPB030BV1,1,6,38.00,1,AngryA,HappyA,HappyA,Right,AngryA,Left,39.00,1341,43.50,No,17
MUTRIPB030BV1,1,7,45.00,1,HappyA,AngryA,AngryA,Right,AngryA,Right,46.00,1382,50.50,Yes,29
MUTRIPB030BV1,1,8,52.00,1,HappyA,AngryA,AngryA,Right,AngryA,Right,53.00,1541,57.50,Yes,38
MUTRIPB030BV1,1,9,59.00,1,AngryA,HappyA,AngryA,Left,HappyA,Right,60.00,1331,64.50,No,33
MUTRIPB030BV1,1,10,66.00,1,HappyA,AngryA,HappyA,Left,HappyA,Left,67.00,749,71.50,Yes,40
MUTRIPB030BV1,1,11,73.00,1,AngryA,HappyA,AngryA,Left,HappyA,Right,74.00,1356,78.50,No,36
MUTRIPB030BV1,1,12,80.00,1,AngryA,HappyA,AngryA,Left,AngryA,Left,81.00,787,85.50,Yes,42
MUTRIPB030BV1,1,13,87.00,1,HappyA,AngryA,AngryA,Right,HappyA,Left,88.00,1717,92.50,No,38
MUTRIPB030BV1,1,14,94.00,1,HappyA,AngryA,HappyA,Left,AngryA,Right,95.00,677,99.50,No,36
MUTRIPB030BV1,1,15,101.00,1,AngryA,HappyA,HappyA,Right,HappyA,Right,102.00,533,106.50,Yes,40
MUTRIPB030BV1,1,16,108.00,1,AngryA,HappyA,HappyA,Right,HappyA,Right,109.00,773,113.50,Yes,44
MUTRIPB030BV1,1,17,115.00,1,HappyA,AngryA,AngryA,Right,HappyA,Left,116.00,861,120.50,No,41
MUTRIPB030BV1,1,18,122.00,1,HappyA,AngryA,AngryA,Right,AngryA,Right,123.00,857,127.50,Yes,44
MUTRIPB030BV1,1,19,129.00,1,HappyA,AngryA,AngryA,Right,AngryA,Right,130.00,722,134.50,Yes,47
MUTRIPB030BV1,1,20,136.00,1,AngryA,HappyA,AngryA,Left,AngryA,Left,137.00,413,141.50,Yes,50
MUTRIPB030BV1,1,21,143.00,1,HappyA,AngryA,AngryA,Right,AngryA,Right,144.00,2173,148.50,Yes,52
MUTRIPB030BV1,1,22,150.00,1,HappyA,AngryA,HappyA,Left,HappyA,Left,151.00,355,155.50,Yes,55
MUTRIPB030BV1,1,23,157.00,1,HappyA,AngryA,AngryA,Right,HappyA,Left,158.00,620,162.50,No,52
MUTRIPB030BV1,1,24,164.00,1,AngryA,HappyA,HappyA,Right,AngryA,Left,165.00,988,169.50,No,50
MUTRIPB030BV1,1,25,171.00,1,AngryA,HappyA,AngryA,Left,AngryA,Left,172.00,1153,176.50,Yes,52
MUTRIPB030BV1,1,26,178.00,1,HappyA,AngryA,HappyA,Left,AngryA,Right,179.00,924,183.50,No,50
MUTRIPB030BV1,1,27,185.00,1,HappyA,AngryA,HappyA,Left,AngryA,Right,186.00,794,190.50,No,48
MUTRIPB030BV1,1,28,192.00,1,AngryA,HappyA,HappyA,Right,HappyA,Right,193.00,540,197.50,Yes,50
MUTRIPB030BV1,1,29,199.00,1,HappyA,AngryA,AngryA,Right,HappyA,Left,200.00,892,204.50,No,48
MUTRIPB030BV1,1,30,206.00,1,AngryA,HappyA,AngryA,Left,HappyA,Right,207.00,740,211.50,No,47
MUTRIPB030BV1,1,31,216.00,2,NeutralB,NeutralA,NeutralB,Left,NeutralB,Left,217.00,1404,221.50,Yes,100
MUTRIPB030BV1,1,32,223.00,2,NeutralB,NeutralA,NeutralB,Left,NeutralB,Left,224.00,881,228.50,Yes,100
MUTRIPB030BV1,1,33,230.00,2,NeutralA,NeutralB,NeutralA,Left,NeutralA,Left,231.00,1436,235.50,Yes,100
MUTRIPB030BV1,1,34,237.00,2,NeutralB,NeutralA,NeutralB,Left,NeutralB,Left,238.00,899,242.50,Yes,100
MUTRIPB030BV1,1,35,244.00,2,NeutralB,NeutralA,NeutralA,Right,NeutralB,Left,245.00,1340,249.50,No,80
MUTRIPB030BV1,1,36,251.00,2,NeutralB,NeutralA,NeutralA,Right,NeutralB,Left,252.00,1452,256.50,No,67
MUTRIPB030BV1,1,37,258.00,2,NeutralA,NeutralB,NeutralB,Right,NeutralB,Right,259.00,1052,263.50,Yes,71
MUTRIPB030BV1,1,38,265.00,2,NeutralA,NeutralB,NeutralB,Right,NeutralB,Right,266.00,1059,270.50,Yes,75
MUTRIPB030BV1,1,39,272.00,2,NeutralB,NeutralA,NeutralB,Left,NeutralB,Left,273.00,697,277.50,Yes,78
