SubjectID,Visit,TrialNo,TimeAtStartOfTrial,BlockNo,LeftFace,RightFace,WinningFace,WinningSide,ChosenFace,ChosenSide,FaceOnset,RT,FeedbackOnset,Rewarded,PercentRewardedInBlock
MUTRIP019A,1,1,3.00,1,AngryB,HappyB,AngryB,Left,HappyB,Right,4.00,2020,8.50,No,00
MUTRIP019A,1,2,10.00,1,AngryB,HappyB,HappyB,Right,HappyB,Right,11.00,1085,15.50,Yes,50
MUTRIP019A,1,3,17.00,1,AngryB,HappyB,HappyB,Right,AngryB,Left,18.00,877,22.50,No,33
MUTRIP019A,1,4,24.00,1,HappyB,AngryB,AngryB,Right,HappyB,Left,25.00,1381,29.50,No,25
MUTRIP019A,1,5,31.00,1,AngryB,HappyB,AngryB,Left,HappyB,Right,32.00,1053,36.50,No,20
MUTRIP019A,1,6,38.00,1,AngryB,HappyB,AngryB,Left,AngryB,Left,39.00,2509,43.50,Yes,33
MUTRIP019A,1,7,45.00,1,HappyB,AngryB,AngryB,Right,HappyB,Left,46.00,1589,50.50,No,29
MUTRIP019A,1,8,52.00,1,HappyB,AngryB,HappyB,Left,None,None,53.00,.,57.50,No,25
MUTRIP019A,1,9,59.00,1,HappyB,AngryB,AngryB,Right,AngryB,Right,60.00,3117,64.50,Yes,33
MUTRIP019A,1,10,66.00,1,HappyB,AngryB,HappyB,Left,AngryB,Right,67.00,884,71.50,No,30
MUTRIP019A,1,11,73.00,1,AngryB,HappyB,AngryB,Left,AngryB,Left,74.00,725,78.50,Yes,36
MUTRIP019A,1,12,80.00,1,HappyB,AngryB,AngryB,Right,AngryB,Right,81.00,2012,85.50,Yes,42
MUTRIP019A,1,13,87.00,1,AngryB,HappyB,HappyB,Right,HappyB,Right,88.00,1781,92.50,Yes,46
MUTRIP019A,1,14,94.00,1,AngryB,HappyB,HappyB,Right,AngryB,Left,95.00,628,99.50,No,43
MUTRIP019A,1,15,101.00,1,HappyB,AngryB,HappyB,Left,AngryB,Right,102.00,413,106.50,No,40
MUTRIP019A,1,16,108.00,1,HappyB,AngryB,AngryB,Right,HappyB,Left,109.00,1628,113.50,No,38
MUTRIP019A,1,17,115.00,1,HappyB,AngryB,AngryB,Right,None,None,116.00,.,120.50,No,35
MUTRIP019A,1,18,122.00,1,HappyB,AngryB,HappyB,Left,AngryB,Right,123.00,852,127.50,No,33
MUTRIP019A,1,19,129.00,1,AngryB,HappyB,HappyB,Right,None,None,130.00,.,134.50,No,32
MUTRIP019A,1,20,136.00,1,AngryB,HappyB,HappyB,Right,HappyB,Right,137.00,484,141.50,Yes,35
MUTRIP019A,1,21,143.00,1,HappyB,AngryB,HappyB,Left,AngryB,Right,144.00,604,148.50,No,33
MUTRIP019A,1,22,150.00,1,AngryB,HappyB,HappyB,Right,HappyB,Right,151.00,1172,155.50,Yes,36
MUTRIP019A,1,23,157.00,1,AngryB,HappyB,HappyB,Right,AngryB,Left,158.00,580,162.50,No,35
MUTRIP019A,1,24,164.00,1,HappyB,AngryB,AngryB,Right,AngryB,Right,165.00,980,169.50,Yes,38
MUTRIP019A,1,25,171.00,1,AngryB,HappyB,HappyB,Right,AngryB,Left,172.00,1340,176.50,No,36
MUTRIP019A,1,26,178.00,1,AngryB,HappyB,HappyB,Right,None,None,179.00,.,183.50,No,35
MUTRIP019A,1,27,185.00,1,AngryB,HappyB,HappyB,Right,AngryB,Left,186.00,708,190.50,No,33
MUTRIP019A,1,28,192.00,1,HappyB,AngryB,HappyB,Left,HappyB,Left,193.00,1196,197.50,Yes,36
MUTRIP019A,1,29,199.00,1,HappyB,AngryB,AngryB,Right,AngryB,Right,200.00,2764,204.50,Yes,38
MUTRIP019A,1,30,206.00,1,HappyB,AngryB,HappyB,Left,HappyB,Left,207.00,2995,211.50,Yes,40
