SubjectID,Visit,TrialNo,TimeAtStartOfTrial,BlockNo,LeftFace,RightFace,WinningFace,WinningSide,ChosenFace,ChosenSide,FaceOnset,RT,FeedbackOnset,Rewarded,PercentRewardedInBlock
MUTRIPB098A,1,1,3.00,1,HappyB,AngryB,AngryB,Right,HappyB,Left,4.00,1649,8.50,No,00
MUTRIPB098A,1,2,10.00,1,AngryB,HappyB,HappyB,Right,HappyB,Right,11.00,1370,15.50,Yes,50
MUTRIPB098A,1,3,17.00,1,AngryB,HappyB,HappyB,Right,HappyB,Right,18.00,1306,22.50,Yes,67
MUTRIPB098A,1,4,24.00,1,HappyB,AngryB,HappyB,Left,HappyB,Left,25.00,1031,29.50,Yes,75
MUTRIPB098A,1,5,31.00,1,HappyB,AngryB,AngryB,Right,HappyB,Left,32.00,754,36.50,No,60
MUTRIPB098A,1,6,38.00,1,AngryB,HappyB,HappyB,Right,AngryB,Left,39.00,946,43.50,No,50
MUTRIPB098A,1,7,45.00,1,HappyB,AngryB,HappyB,Left,HappyB,Left,46.00,946,50.50,Yes,57
MUTRIPB098A,1,8,52.00,1,AngryB,HappyB,AngryB,Left,HappyB,Right,53.00,1138,57.50,No,50
MUTRIPB098A,1,9,59.00,1,AngryB,HappyB,AngryB,Left,AngryB,Left,60.00,1890,64.50,Yes,56
MUTRIPB098A,1,10,66.00,1,AngryB,HappyB,AngryB,Left,HappyB,Right,67.00,1810,71.50,No,50
MUTRIPB098A,1,11,73.00,1,HappyB,AngryB,AngryB,Right,HappyB,Left,74.00,1658,78.50,No,45
MUTRIPB098A,1,12,80.00,1,HappyB,AngryB,HappyB,Left,AngryB,Right,81.00,1498,85.50,No,42
MUTRIPB098A,1,13,87.00,1,HappyB,AngryB,HappyB,Left,HappyB,Left,88.00,1482,92.50,Yes,46
MUTRIPB098A,1,14,94.00,1,HappyB,AngryB,HappyB,Left,HappyB,Left,95.00,890,99.50,Yes,50
MUTRIPB098A,1,15,101.00,1,AngryB,HappyB,AngryB,Left,HappyB,Right,102.00,2202,106.50,No,47
MUTRIPB098A,1,16,108.00,1,AngryB,HappyB,AngryB,Left,HappyB,Right,109.00,1074,113.50,No,44
MUTRIPB098A,1,17,115.00,1,HappyB,AngryB,AngryB,Right,AngryB,Right,116.00,2618,120.50,Yes,47
MUTRIPB098A,1,18,122.00,1,AngryB,HappyB,HappyB,Right,HappyB,Right,123.00,2674,127.50,Yes,50
MUTRIPB098A,1,19,129.00,1,HappyB,AngryB,AngryB,Right,HappyB,Left,130.00,1082,134.50,No,47
MUTRIPB098A,1,20,136.00,1,AngryB,HappyB,HappyB,Right,AngryB,Left,137.00,1634,141.50,No,45
MUTRIPB098A,1,21,143.00,1,AngryB,HappyB,AngryB,Left,HappyB,Right,144.00,1378,148.50,No,43
MUTRIPB098A,1,22,150.00,1,AngryB,HappyB,HappyB,Right,HappyB,Right,151.00,2290,155.50,Yes,45
MUTRIPB098A,1,23,157.00,1,HappyB,AngryB,AngryB,Right,HappyB,Left,158.00,1218,162.50,No,43
MUTRIPB098A,1,24,164.00,1,AngryB,HappyB,AngryB,Left,AngryB,Left,165.00,1578,169.50,Yes,46
MUTRIPB098A,1,25,171.00,1,AngryB,HappyB,AngryB,Left,AngryB,Left,172.00,2082,176.50,Yes,48
MUTRIPB098A,1,26,178.00,1,HappyB,AngryB,AngryB,Right,HappyB,Left,179.00,962,183.50,No,46
MUTRIPB098A,1,27,185.00,1,HappyB,AngryB,AngryB,Right,AngryB,Right,186.00,690,190.50,Yes,48
MUTRIPB098A,1,28,192.00,1,AngryB,HappyB,AngryB,Left,HappyB,Right,193.00,1858,197.50,No,46
MUTRIPB098A,1,29,199.00,1,HappyB,AngryB,AngryB,Right,HappyB,Left,200.00,2162,204.50,No,45
MUTRIPB098A,1,30,206.00,1,HappyB,AngryB,HappyB,Left,AngryB,Right,207.00,834,211.50,No,43
MUTRIPB098A,1,31,216.00,2,NeutralA,NeutralB,NeutralB,Right,NeutralB,Right,217.00,1698,221.50,Yes,100
MUTRIPB098A,1,32,223.00,2,NeutralB,NeutralA,NeutralA,Right,NeutralB,Left,224.00,1785,228.50,No,50
MUTRIPB098A,1,33,230.00,2,NeutralB,NeutralA,NeutralA,Right,NeutralA,Right,231.00,898,235.50,Yes,67
MUTRIPB098A,1,34,237.00,2,NeutralA,NeutralB,NeutralA,Left,NeutralA,Left,238.00,1777,242.50,Yes,75
MUTRIPB098A,1,35,244.00,2,NeutralA,NeutralB,NeutralB,Right,NeutralB,Right,245.00,1130,249.50,Yes,80
MUTRIPB098A,1,36,251.00,2,NeutralB,NeutralA,NeutralA,Right,NeutralB,Left,252.00,1049,256.50,No,67
MUTRIPB098A,1,37,258.00,2,NeutralA,NeutralB,NeutralA,Left,NeutralA,Left,259.00,1202,263.50,Yes,71
MUTRIPB098A,1,38,265.00,2,NeutralB,NeutralA,NeutralB,Left,NeutralA,Right,266.00,1281,270.50,No,63
MUTRIPB098A,1,39,272.00,2,NeutralB,NeutralA,NeutralB,Left,NeutralB,Left,273.00,954,277.50,Yes,67
MUTRIPB098A,1,40,279.00,2,NeutralB,NeutralA,NeutralB,Left,NeutralB,Left,280.00,1801,284.50,Yes,70
MUTRIPB098A,1,41,286.00,2,NeutralA,NeutralB,NeutralB,Right,NeutralA,Left,287.00,2097,291.50,No,64
MUTRIPB098A,1,42,293.00,2,NeutralA,NeutralB,NeutralA,Left,NeutralB,Right,294.00,665,298.50,No,58
MUTRIPB098A,1,43,300.00,2,NeutralA,NeutralB,NeutralA,Left,NeutralA,Left,301.00,737,305.50,Yes,62
