SubjectID,Visit,TrialNo,TimeAtStartOfTrial,BlockNo,LeftFace,RightFace,WinningFace,WinningSide,ChosenFace,ChosenSide,FaceOnset,RT,FeedbackOnset,Rewarded,PercentRewardedInBlock
MUTRIPB059A,1,1,3.00,1,AngryB,HappyB,AngryB,Left,AngryB,Left,4.00,1613,8.50,Yes,100
MUTRIPB059A,1,2,10.00,1,AngryB,HappyB,AngryB,Left,AngryB,Left,11.00,638,15.50,Yes,100
MUTRIPB059A,1,3,17.00,1,HappyB,AngryB,HappyB,Left,HappyB,Left,18.00,485,22.50,Yes,100
MUTRIPB059A,1,4,24.00,1,HappyB,AngryB,AngryB,Right,AngryB,Right,25.00,526,29.50,Yes,100
MUTRIPB059A,1,5,31.00,1,AngryB,HappyB,HappyB,Right,AngryB,Left,32.00,397,36.50,No,80
MUTRIPB059A,1,6,38.00,1,HappyB,AngryB,AngryB,Right,AngryB,Right,39.00,534,43.50,Yes,83
MUTRIPB059A,1,7,45.00,1,HappyB,AngryB,AngryB,Right,AngryB,Right,46.00,557,50.50,Yes,86
MUTRIPB059A,1,8,52.00,1,AngryB,HappyB,AngryB,Left,HappyB,Right,53.00,1205,57.50,No,75
MUTRIPB059A,1,9,59.00,1,HappyB,AngryB,AngryB,Right,HappyB,Left,60.00,494,64.50,No,67
MUTRIPB059A,1,10,66.00,1,HappyB,AngryB,HappyB,Left,HappyB,Left,67.00,453,71.50,Yes,70
MUTRIPB059A,1,11,73.00,1,AngryB,HappyB,AngryB,Left,AngryB,Left,74.00,701,78.50,Yes,73
MUTRIPB059A,1,12,80.00,1,AngryB,HappyB,AngryB,Left,HappyB,Right,81.00,1189,85.50,No,67
MUTRIPB059A,1,13,87.00,1,AngryB,HappyB,HappyB,Right,AngryB,Left,88.00,381,92.50,No,62
MUTRIPB059A,1,14,94.00,1,HappyB,AngryB,AngryB,Right,HappyB,Left,95.00,381,99.50,No,57
MUTRIPB059A,1,15,101.00,1,HappyB,AngryB,AngryB,Right,HappyB,Left,102.00,525,106.50,No,53
MUTRIPB059A,1,16,108.00,1,HappyB,AngryB,HappyB,Left,HappyB,Left,109.00,1957,113.50,Yes,56
MUTRIPB059A,1,17,115.00,1,HappyB,AngryB,AngryB,Right,HappyB,Left,116.00,613,120.50,No,53
MUTRIPB059A,1,18,122.00,1,AngryB,HappyB,AngryB,Left,AngryB,Left,123.00,413,127.50,Yes,56
MUTRIPB059A,1,19,129.00,1,HappyB,AngryB,HappyB,Left,HappyB,Left,130.00,508,134.50,Yes,58
MUTRIPB059A,1,20,136.00,1,HappyB,AngryB,HappyB,Left,AngryB,Right,137.00,492,141.50,No,55
MUTRIPB059A,1,21,143.00,1,AngryB,HappyB,AngryB,Left,HappyB,Right,144.00,413,148.50,No,52
MUTRIPB059A,1,22,150.00,1,AngryB,HappyB,HappyB,Right,HappyB,Right,151.00,3940,155.50,Yes,55
MUTRIPB059A,1,23,157.00,1,AngryB,HappyB,HappyB,Right,HappyB,Right,158.00,2532,162.50,Yes,57
MUTRIPB059A,1,24,164.00,1,HappyB,AngryB,AngryB,Right,HappyB,Left,165.00,1044,169.50,No,54
MUTRIPB059A,1,25,171.00,1,AngryB,HappyB,AngryB,Left,HappyB,Right,172.00,948,176.50,No,52
MUTRIPB059A,1,26,178.00,1,AngryB,HappyB,AngryB,Left,HappyB,Right,179.00,593,183.50,No,50
MUTRIPB059A,1,27,185.00,1,HappyB,AngryB,HappyB,Left,AngryB,Right,186.00,476,190.50,No,48
MUTRIPB059A,1,28,192.00,1,HappyB,AngryB,HappyB,Left,HappyB,Left,193.00,484,197.50,Yes,50
MUTRIPB059A,1,29,199.00,1,AngryB,HappyB,HappyB,Right,AngryB,Left,200.00,636,204.50,No,48
MUTRIPB059A,1,30,206.00,1,AngryB,HappyB,AngryB,Left,AngryB,Left,207.00,532,211.50,Yes,50
MUTRIPB059A,1,31,216.00,2,NeutralB,NeutralA,NeutralB,Left,NeutralA,Right,217.00,4388,221.50,No,00
MUTRIPB059A,1,32,223.00,2,NeutralB,NeutralA,NeutralB,Left,NeutralB,Left,224.00,468,228.50,Yes,50
MUTRIPB059A,1,33,230.00,2,NeutralA,NeutralB,NeutralA,Left,NeutralA,Left,231.00,507,235.50,Yes,67
MUTRIPB059A,1,34,237.00,2,NeutralA,NeutralB,NeutralB,Right,NeutralB,Right,238.00,1435,242.50,Yes,75
MUTRIPB059A,1,35,244.00,2,NeutralB,NeutralA,NeutralA,Right,NeutralB,Left,245.00,2315,249.50,No,60
MUTRIPB059A,1,36,251.00,2,NeutralA,NeutralB,NeutralB,Right,NeutralA,Left,252.00,715,256.50,No,50
MUTRIPB059A,1,37,258.00,2,NeutralA,NeutralB,NeutralB,Right,NeutralA,Left,259.00,1299,263.50,No,43
MUTRIPB059A,1,38,265.00,2,NeutralB,NeutralA,NeutralB,Left,NeutralB,Left,266.00,1115,270.50,Yes,50
MUTRIPB059A,1,39,272.00,2,NeutralA,NeutralB,NeutralB,Right,NeutralB,Right,273.00,1835,277.50,Yes,56
MUTRIPB059A,1,40,279.00,2,NeutralA,NeutralB,NeutralA,Left,NeutralB,Right,280.00,1387,284.50,No,50
MUTRIPB059A,1,41,286.00,2,NeutralB,NeutralA,NeutralB,Left,NeutralB,Left,287.00,491,291.50,Yes,55
MUTRIPB059A,1,42,293.00,2,NeutralB,NeutralA,NeutralB,Left,NeutralB,Left,294.00,1000,298.50,Yes,58
MUTRIPB059A,1,43,300.00,2,NeutralB,NeutralA,NeutralA,Right,NeutralA,Right,301.00,715,305.50,Yes,62
MUTRIPB059A,1,44,307.00,2,NeutralA,NeutralB,NeutralB,Right,NeutralB,Right,308.00,2274,312.50,Yes,64
MUTRIPB059A,1,45,314.00,2,NeutralA,NeutralB,NeutralB,Right,NeutralB,Right,315.00,1971,319.50,Yes,67
MUTRIPB059A,1,46,321.00,2,NeutralA,NeutralB,NeutralA,Left,NeutralA,Left,322.00,2002,326.50,Yes,69
MUTRIPB059A,1,47,328.00,2,NeutralA,NeutralB,NeutralB,Right,NeutralA,Left,329.00,890,333.50,No,65
MUTRIPB059A,1,48,335.00,2,NeutralB,NeutralA,NeutralB,Left,NeutralA,Right,336.00,619,340.50,No,61
MUTRIPB059A,1,49,342.00,2,NeutralA,NeutralB,NeutralA,Left,NeutralA,Left,343.00,914,347.50,Yes,63
MUTRIPB059A,1,50,349.00,2,NeutralA,NeutralB,NeutralA,Left,NeutralB,Right,350.00,706,354.50,No,60
MUTRIPB059A,1,51,356.00,2,NeutralB,NeutralA,NeutralB,Left,NeutralA,Right,357.00,488,361.50,No,57
MUTRIPB059A,1,52,363.00,2,NeutralB,NeutralA,NeutralA,Right,NeutralB,Left,364.00,499,368.50,No,55
MUTRIPB059A,1,53,370.00,2,NeutralB,NeutralA,NeutralA,Right,NeutralB,Left,371.00,618,375.50,No,52
MUTRIPB059A,1,54,377.00,2,NeutralA,NeutralB,NeutralB,Right,NeutralB,Right,378.00,1280,382.50,Yes,54
MUTRIPB059A,1,55,384.00,2,NeutralB,NeutralA,NeutralB,Left,NeutralA,Right,385.00,802,389.50,No,52
MUTRIPB059A,1,56,391.00,2,NeutralB,NeutralA,NeutralB,Left,NeutralB,Left,392.00,1074,396.50,Yes,54
MUTRIPB059A,1,57,398.00,2,NeutralA,NeutralB,NeutralA,Left,None,None,399.00,.,403.50,No,52
MUTRIPB059A,1,58,405.00,2,NeutralA,NeutralB,NeutralA,Left,NeutralA,Left,406.00,642,410.50,Yes,54
MUTRIPB059A,1,59,412.00,2,NeutralB,NeutralA,NeutralA,Right,NeutralA,Right,413.00,1105,417.50,Yes,55
MUTRIPB059A,1,60,419.00,2,NeutralB,NeutralA,NeutralB,Left,NeutralA,Right,420.00,496,424.50,No,53
MUTRIPB059A,1,61,429.00,3,AngryA,HappyA,AngryA,Left,HappyA,Right,430.00,1650,434.50,No,00
MUTRIPB059A,1,62,436.00,3,AngryA,HappyA,AngryA,Left,HappyA,Right,437.00,537,441.50,No,00
MUTRIPB059A,1,63,443.00,3,HappyA,AngryA,HappyA,Left,HappyA,Left,444.00,489,448.50,Yes,33
MUTRIPB059A,1,64,450.00,3,HappyA,AngryA,AngryA,Right,HappyA,Left,451.00,489,455.50,No,25
MUTRIPB059A,1,65,457.00,3,AngryA,HappyA,HappyA,Right,AngryA,Left,458.00,849,462.50,No,20
MUTRIPB059A,1,66,464.00,3,HappyA,AngryA,AngryA,Right,HappyA,Left,465.00,377,469.50,No,17
MUTRIPB059A,1,67,471.00,3,HappyA,AngryA,AngryA,Right,HappyA,Left,472.00,545,476.50,No,14
MUTRIPB059A,1,68,478.00,3,AngryA,HappyA,AngryA,Left,AngryA,Left,479.00,824,483.50,Yes,25
MUTRIPB059A,1,69,485.00,3,HappyA,AngryA,AngryA,Right,HappyA,Left,486.00,833,490.50,No,22
MUTRIPB059A,1,70,492.00,3,HappyA,AngryA,HappyA,Left,AngryA,Right,493.00,361,497.50,No,20
MUTRIPB059A,1,71,499.00,3,AngryA,HappyA,AngryA,Left,HappyA,Right,500.00,376,504.50,No,18
MUTRIPB059A,1,72,506.00,3,AngryA,HappyA,AngryA,Left,HappyA,Right,507.00,521,511.50,No,17
MUTRIPB059A,1,73,513.00,3,AngryA,HappyA,HappyA,Right,AngryA,Left,514.00,626,518.50,No,15
