SubjectID,Visit,TrialNo,TimeAtStartOfTrial,BlockNo,LeftFace,RightFace,WinningFace,WinningSide,ChosenFace,ChosenSide,FaceOnset,RT,FeedbackOnset,Rewarded,PercentRewardedInBlock
MUTRIPB016A,1,1,3.00,1,HappyA,AngryA,HappyA,Left,HappyA,Left,4.00,1090,8.50,Yes,100
MUTRIPB016A,1,2,10.00,1,AngryA,HappyA,HappyA,Right,HappyA,Right,11.00,1119,15.50,Yes,100
MUTRIPB016A,1,3,17.00,1,AngryA,HappyA,AngryA,Left,HappyA,Right,18.00,1215,22.50,No,67
MUTRIPB016A,1,4,24.00,1,HappyA,AngryA,AngryA,Right,AngryA,Right,25.00,1303,29.50,Yes,75
MUTRIPB016A,1,5,31.00,1,HappyA,AngryA,AngryA,Right,HappyA,Left,32.00,1506,36.50,No,60
MUTRIPB016A,1,6,38.00,1,HappyA,AngryA,HappyA,Left,AngryA,Right,39.00,1295,43.50,No,50
MUTRIPB016A,1,7,45.00,1,HappyA,AngryA,HappyA,Left,AngryA,Right,46.00,807,50.50,No,43
MUTRIPB016A,1,8,52.00,1,HappyA,AngryA,HappyA,Left,HappyA,Left,53.00,1163,57.50,Yes,50
MUTRIPB016A,1,9,59.00,1,HappyA,AngryA,HappyA,Left,HappyA,Left,60.00,1703,64.50,Yes,56
MUTRIPB016A,1,10,66.00,1,AngryA,HappyA,HappyA,Right,HappyA,Right,67.00,1127,71.50,Yes,60
MUTRIPB016A,1,11,73.00,1,HappyA,AngryA,AngryA,Right,HappyA,Left,74.00,1270,78.50,No,55
MUTRIPB016A,1,12,80.00,1,HappyA,AngryA,AngryA,Right,HappyA,Left,81.00,1327,85.50,No,50
MUTRIPB016A,1,13,87.00,1,HappyA,AngryA,HappyA,Left,AngryA,Right,88.00,803,92.50,No,46
MUTRIPB016A,1,14,94.00,1,AngryA,HappyA,HappyA,Right,HappyA,Right,95.00,998,99.50,Yes,50
MUTRIPB016A,1,15,101.00,1,AngryA,HappyA,AngryA,Left,HappyA,Right,102.00,1294,106.50,No,47
MUTRIPB016A,1,16,108.00,1,AngryA,HappyA,HappyA,Right,AngryA,Left,109.00,1066,113.50,No,44
MUTRIPB016A,1,17,115.00,1,AngryA,HappyA,AngryA,Left,HappyA,Right,116.00,1294,120.50,No,41
MUTRIPB016A,1,18,122.00,1,HappyA,AngryA,HappyA,Left,HappyA,Left,123.00,2819,127.50,Yes,44
MUTRIPB016A,1,19,129.00,1,HappyA,AngryA,HappyA,Left,HappyA,Left,130.00,1278,134.50,Yes,47
MUTRIPB016A,1,20,136.00,1,HappyA,AngryA,AngryA,Right,AngryA,Right,137.00,1190,141.50,Yes,50
MUTRIPB016A,1,21,143.00,1,AngryA,HappyA,HappyA,Right,AngryA,Left,144.00,1602,148.50,No,48
MUTRIPB016A,1,22,150.00,1,AngryA,HappyA,HappyA,Right,HappyA,Right,151.00,750,155.50,Yes,50
MUTRIPB016A,1,23,157.00,1,HappyA,AngryA,AngryA,Right,AngryA,Right,158.00,1010,162.50,Yes,52
MUTRIPB016A,1,24,164.00,1,AngryA,HappyA,HappyA,Right,AngryA,Left,165.00,1302,169.50,No,50
MUTRIPB016A,1,25,171.00,1,AngryA,HappyA,AngryA,Left,HappyA,Right,172.00,1206,176.50,No,48
MUTRIPB016A,1,26,178.00,1,HappyA,AngryA,HappyA,Left,HappyA,Left,179.00,1022,183.50,Yes,50
MUTRIPB016A,1,27,185.00,1,AngryA,HappyA,HappyA,Right,HappyA,Right,186.00,1270,190.50,Yes,52
MUTRIPB016A,1,28,192.00,1,AngryA,HappyA,HappyA,Right,HappyA,Right,193.00,774,197.50,Yes,54
MUTRIPB016A,1,29,199.00,1,AngryA,HappyA,AngryA,Left,AngryA,Left,200.00,1454,204.50,Yes,55
MUTRIPB016A,1,30,206.00,1,AngryA,HappyA,AngryA,Left,AngryA,Left,207.00,1077,211.50,Yes,57
