SubjectID,Visit,TrialNo,TimeAtStartOfTrial,BlockNo,LeftFace,RightFace,WinningFace,WinningSide,ChosenFace,ChosenSide,FaceOnset,RT,FeedbackOnset,Rewarded,PercentRewardedInBlock
MUTRIPB128A,1,1,3.00,1,HappyA,AngryA,AngryA,Right,HappyA,Left,4.00,2115,8.50,No,00
MUTRIPB128A,1,2,10.00,1,AngryA,HappyA,AngryA,Left,HappyA,Right,11.00,1730,15.50,No,00
MUTRIPB128A,1,3,17.00,1,AngryA,HappyA,AngryA,Left,HappyA,Right,18.00,2059,22.50,No,00
MUTRIPB128A,1,4,24.00,1,HappyA,AngryA,HappyA,Left,HappyA,Left,25.00,1250,29.50,Yes,25
MUTRIPB128A,1,5,31.01,1,AngryA,HappyA,HappyA,Right,HappyA,Right,32.00,1119,36.51,Yes,40
MUTRIPB128A,1,6,38.00,1,AngryA,HappyA,AngryA,Left,HappyA,Right,39.00,1170,43.50,No,33
MUTRIPB128A,1,7,45.00,1,HappyA,AngryA,AngryA,Right,HappyA,Left,46.00,915,50.50,No,29
MUTRIPB128A,1,8,52.00,1,AngryA,HappyA,AngryA,Left,HappyA,Right,53.00,1494,57.50,No,25
MUTRIPB128A,1,9,59.00,1,HappyA,AngryA,HappyA,Left,HappyA,Left,60.00,1169,64.50,Yes,33
MUTRIPB128A,1,10,66.00,1,HappyA,AngryA,HappyA,Left,HappyA,Left,67.00,1662,71.50,Yes,40
MUTRIPB128A,1,11,73.00,1,AngryA,HappyA,HappyA,Right,HappyA,Right,74.00,705,78.50,Yes,45
MUTRIPB128A,1,12,80.00,1,AngryA,HappyA,AngryA,Left,HappyA,Right,81.00,1153,85.50,No,42
MUTRIPB128A,1,13,87.00,1,AngryA,HappyA,AngryA,Left,HappyA,Right,88.00,1079,92.50,No,38
MUTRIPB128A,1,14,94.00,1,AngryA,HappyA,AngryA,Left,HappyA,Right,95.00,652,99.50,No,36
MUTRIPB128A,1,15,101.00,1,AngryA,HappyA,AngryA,Left,HappyA,Right,102.00,901,106.50,No,33
MUTRIPB128A,1,16,108.00,1,HappyA,AngryA,AngryA,Right,HappyA,Left,109.00,1359,113.50,No,31
MUTRIPB128A,1,17,115.00,1,AngryA,HappyA,AngryA,Left,HappyA,Right,116.00,920,120.50,No,29
MUTRIPB128A,1,18,122.00,1,HappyA,AngryA,AngryA,Right,HappyA,Left,123.00,1170,127.50,No,28
MUTRIPB128A,1,19,129.00,1,HappyA,AngryA,HappyA,Left,HappyA,Left,130.00,1637,134.50,Yes,32
MUTRIPB128A,1,20,136.00,1,HappyA,AngryA,HappyA,Left,HappyA,Left,137.00,1205,141.50,Yes,35
MUTRIPB128A,1,21,143.00,1,HappyA,AngryA,AngryA,Right,HappyA,Left,144.00,911,148.50,No,33
MUTRIPB128A,1,22,150.00,1,AngryA,HappyA,HappyA,Right,HappyA,Right,151.00,901,155.50,Yes,36
MUTRIPB128A,1,23,157.00,1,AngryA,HappyA,AngryA,Left,HappyA,Right,158.00,925,162.50,No,35
