SubjectID,Visit,TrialNo,TimeAtStartOfTrial,BlockNo,LeftFace,RightFace,WinningFace,WinningSide,ChosenFace,ChosenSide,FaceOnset,RT,FeedbackOnset,Rewarded,PercentRewardedInBlock
MUTRIPB120A,1,1,3.00,1,AngryA,HappyA,AngryA,Left,AngryA,Left,4.00,1365,8.50,Yes,100
MUTRIPB120A,1,2,10.00,1,AngryA,HappyA,AngryA,Left,HappyA,Right,11.00,1672,15.50,No,50
MUTRIPB120A,1,3,17.00,1,HappyA,AngryA,AngryA,Right,HappyA,Left,18.00,649,22.50,No,33
MUTRIPB120A,1,4,24.00,1,AngryA,HappyA,HappyA,Right,AngryA,Left,25.00,609,29.50,No,25
MUTRIPB120A,1,5,31.00,1,AngryA,HappyA,AngryA,Left,HappyA,Right,32.00,1873,36.50,No,20
MUTRIPB120A,1,6,38.00,1,HappyA,AngryA,HappyA,Left,HappyA,Left,39.00,2041,43.50,Yes,33
MUTRIPB120A,1,7,45.00,1,AngryA,HappyA,HappyA,Right,HappyA,Right,46.00,1560,50.50,Yes,43
MUTRIPB120A,1,8,52.00,1,AngryA,HappyA,AngryA,Left,HappyA,Right,53.00,1648,57.50,No,38
MUTRIPB120A,1,9,59.00,1,HappyA,AngryA,AngryA,Right,AngryA,Right,60.00,2328,64.50,Yes,44
MUTRIPB120A,1,10,66.00,1,AngryA,HappyA,HappyA,Right,AngryA,Left,67.00,1344,71.50,No,40
MUTRIPB120A,1,11,73.00,1,HappyA,AngryA,HappyA,Left,HappyA,Left,74.00,3496,78.50,Yes,45
MUTRIPB120A,1,12,80.00,1,HappyA,AngryA,HappyA,Left,HappyA,Left,81.00,1432,85.50,Yes,50
MUTRIPB120A,1,13,87.00,1,HappyA,AngryA,AngryA,Right,HappyA,Left,88.00,1128,92.50,No,46
MUTRIPB120A,1,14,94.00,1,AngryA,HappyA,AngryA,Left,None,None,95.00,.,99.50,No,43
MUTRIPB120A,1,15,101.00,1,HappyA,AngryA,HappyA,Left,HappyA,Left,102.00,1272,106.50,Yes,47
MUTRIPB120A,1,16,108.00,1,HappyA,AngryA,AngryA,Right,HappyA,Left,109.00,1256,113.50,No,44
MUTRIPB120A,1,17,115.00,1,HappyA,AngryA,AngryA,Right,HappyA,Left,116.00,1000,120.50,No,41
MUTRIPB120A,1,18,122.00,1,AngryA,HappyA,AngryA,Left,HappyA,Right,123.00,1816,127.50,No,39
MUTRIPB120A,1,19,129.00,1,AngryA,HappyA,AngryA,Left,HappyA,Right,130.00,0,134.50,No,37
MUTRIPB120A,1,20,136.00,1,HappyA,AngryA,AngryA,Right,HappyA,Left,137.00,480,141.50,No,35
MUTRIPB120A,1,21,143.00,1,AngryA,HappyA,HappyA,Right,HappyA,Right,144.00,2432,148.50,Yes,38
MUTRIPB120A,1,22,150.00,1,HappyA,AngryA,HappyA,Left,HappyA,Left,151.00,2727,155.50,Yes,41
MUTRIPB120A,1,23,157.00,1,AngryA,HappyA,HappyA,Right,AngryA,Left,158.00,1567,162.50,No,39
MUTRIPB120A,1,24,164.00,1,AngryA,HappyA,HappyA,Right,AngryA,Left,165.00,1319,169.50,No,38
MUTRIPB120A,1,25,171.00,1,HappyA,AngryA,AngryA,Right,HappyA,Left,172.00,1647,176.50,No,36
MUTRIPB120A,1,26,178.00,1,AngryA,HappyA,AngryA,Left,AngryA,Left,179.00,1519,183.50,Yes,38
MUTRIPB120A,1,27,185.00,1,HappyA,AngryA,HappyA,Left,AngryA,Right,186.00,876,190.50,No,37
MUTRIPB120A,1,28,192.00,1,AngryA,HappyA,AngryA,Left,AngryA,Left,193.00,2079,197.50,Yes,39
MUTRIPB120A,1,29,199.00,1,HappyA,AngryA,AngryA,Right,AngryA,Right,200.00,2239,204.50,Yes,41
MUTRIPB120A,1,30,206.00,1,HappyA,AngryA,AngryA,Right,HappyA,Left,207.00,1287,211.50,No,40
MUTRIPB120A,1,31,216.00,2,NeutralB,NeutralA,NeutralA,Right,NeutralB,Left,217.00,1767,221.50,No,00
